label	data
0	用了6年的THINKPAD,一直认为是笔记本中最好的!现在这台新的让我......哎!!
0	送货时间太长，从订货到我手里足足用了6天。还有不是说免运费吗？为什么还收了我8块钱。
0	不知道怎么回事，验货和体验的时候没什么问题，但是装完XP后光驱吱吱的响，正在查找原因，但愿这个毛病是暂时的，要不那可真是郁闷了
0	箱子外边贴了两个京东的货物编号，貌似发过一次货。包装也比较脏，不像新出厂的。虽然没有证据证明这个本本是旧货，但是总是感觉不爽，希望京东在以后的各个环节注意把关，不要被以次充好。
0	等到发现是主板问题换货时间已经过了   强烈建议大家不要在这里买售后要求蛮高的东西 特别是电脑 买回去 系统你要弄半天  还不送其他东西 看上去价格比外面便宜一点 其实相
0	前天下的单，今天到货。一看价格跌了200元，只能认运气不好，呵呵。另外，分区确实有点畸形。联想能不能做个调查啊，估计80%用户希望预先作好分区，当然不是这样变态的分区，嘿嘿。
0	镜面很差，一不小心有划伤。也不知道联想天天看着，为什么不改。另外，开机光驱响声大，好像这个系列都有类似问题，凑合了。保修期只有1年，有点担心。
0	非常奇怪的问题，随机配了一张DVD光碟，上面居然只是说明书的PDF文档！驱动都不要配吗？让客户都自己去网站上下载？HP的网站上驱动下载做得并不好，有2个完全不一样的1019TU，让人不知道如何是好。
0	1、不带正版系统，所以改装xp时，hp售后不帮忙重装体统，花了100块钱找电脑城的商家装，而且商家说这是特工机，那个商家技术部花了3个小时才装上了所有驱动~~2、电量用的快，大概也就2-3小时没电
0	hp的linux系统，就是修改Ubuntu的系统，界面单一，没有Ubuntu酷炫！目前准备卸载
0	键盘太拥挤 按着不太舒服, 也容易按错键. 不过这体积大概也只能这样
0	屏幕有点软，合上盖，用手拿着机器，明显有按进去的感觉，这点就不如我朋友买的苹果的屏幕了。另外不知道是不是我还没有煲的关系，音响有点刺耳。
0	那个叫什么lu什么的系统不怎么会用，想换XP，听说有点麻烦，不知道有没有高人指导下小弟
0	太重了，好像比其他品牌14寸的机子还重，怎么上面写着2.6kg,可是电脑包装上面写毛重3.6，还有不知是自己太背了还是怎么的，本子到手还没有用，好像有点问题，又要去售后维修，太麻烦了！
0	发票上写的很明白，赠包，电话客服处理完直接没音信了，京东在线客服竟然来个因为618的优惠而没有包儿了，我觉得很不合理，既然没有就别写赠包，本来价格高400还一大堆赠品，这现在什么也没搞上，还要自己买包
0	热量较高~不完游戏就开着也会热，需要散热器为好特别是夏天，显卡是入门级的。不过以后把内存加至4G，那样会爽点。
0	处理器再强点就好了，当然再强点就不是这个价了，显卡的显存很强大，位宽很不强大。只有包，没有鼠标，
0	无线好像不稳定 不知道其他人有没有这种情况  要是有系统盘就好了
0	大家在京东买东西一定要谨慎，出现点问题就是自己到处去跑，他们才不会管你，小心上当！！买东西还不够糟心的呢，在京东买东西不省心！！！
0	我买的这个笔记本上门写的Vista家庭高级版，结果拿到手是basic版的，
0	散热一般，从触摸板到右手掌托有些温热，USB只有三个，太少，不过分配到是比较合理
0	屏幕设计的有点小了，很宽的留边，有点浪费；机子刚才出现了蓝屏，请问是怎么回事？刚买完就来新的优惠了，以后对京东要小心些了。都不说提醒一下。
0	拿到的时候，是系统安装好的，是开过封的，商家事先应该先说明下~
0	USB接口太少，靠得近，而且还在左边.刚出库就有返现100元，赠包！！！ 的活动，又不能保价，大大的不爽！！！ ，预制的LINUX很麻烦，还不如裸机再节省点价格。
0	键盘上的键敲得稍微快点的时候，有些字母明明敲了，但是就是没上去。好像主要是在左边的键。
0	明显能看出来是低端本，塑料感很强，做工也仅仅比神船稍好。usb只有2个，且都在左边。散热很差，C面好像蒸笼啊。不送包……
0	到货时间太慢，整整过了8天，是没有系统还是怎么了？为什么打开之后就不动了，显示root localhost ,谁能帮我解释解释，该怎么办呢？是应该找京东还是找宏基？
0	装系统麻烦，至少要告知具体方法，比如要改BIOS中的硬盘IDE选项，非专业的人是想不到的，另外刻录机在读盘的时候震动非常大，我认为对硬盘肯定有损伤。
0	1.购买的时候写着赠送包的，可是收到本本的时候没有包。这时去查看订单时，赠包的条款没有了。2.刚买完就降了100.
0	没有系统，拿到手里打开机器，只能随便看一下，因为没有系统啊！没有系统才会有这样的价钱吧！开箱的时候竟然是一个纸箱面又装了另外一个箱子，这箱子还真多，不过没有鼠标和包包！
0	按键稍显得僵硬了些，回弹能力不够，还是thinkpad的键盘的手感好
0	预装的linux版本不是常用，可以装Ubuntu版本的。还有安装一键还原时会死机，还有官方的显卡驱动装不上，少个dll文件。还有该型号的同个设配用了多个不同的驱动，找驱动不好找。
0	系统重新装了要黑一下屏，不知道什么原因。京东降价太快了，不爽
0	有点厚重，不过这个价格，算是这样的了，USB接口只有2个而且位置不当
0	系统不习惯,开始不会装XP,后来在DOS下执行FDISK /MRB，才能装了。
0	装系统麻烦，对于新手。笔记本有些厚，给女生买注意外观。不适合女生
0	USB口在左边,还就两个,感觉这就是缺点了,别的正在使用中,还没发现
0	为什么玩魔兽争霸有的时候会卡?完流行蝴蝶剑直接显示不出来,甚至黑屏.512的显卡还这么垃圾?
0	1.机身有点厚。2.空格键有异响。有点金属摩擦的声音3.屏幕的边框太宽，呵呵，看起来像15寸的4.京东的图片骗人的：机器上没有HDMI 、IEEE1394、dvi等，在图片上是有，机器上没
0	我试着卸载了默认安装的杀毒软件后。系统启动有时候进不去windows
0	不明白为什么机器是六月产的，有部分驱动却不是最新的，无线上网时断时续，上官网更新驱动后正常。续航时间也没有介绍所说的8小时。
0	刚开机没一会  就很热了机子 作为10寸便携小本 还是厚了点 还是重了点 因为电池的缘故吧 因为蓄电时间的提升 忍了~
0	17、18日个买了1台，内胆包不一样，其中一台的内胆包实在是蹩脚。一台笔记本外壳有贴膜，一台没有。搞不懂，难道三星也山寨了？
0	缺点不要太多最讨厌的就是DOS机不能直接装Vista,为了搞这台机器忙了我两天的时间
0	就是网线上网的有效范围太小了，路由器在卧室，在客厅就上不了了
0	1.刚买就跌价，比较郁闷！2.用信用卡分期付款方式，操作很漫长，9号下的订单19号才能拿到。大家可以先刷信用卡付款，再致电银行要求分期，更快捷。3.比较沉4.如果选用钢琴烤漆就更满意了
0	热了一些，一定要装power4 gear，一般待机情况下cpu达到56度以上，一个快捷按钮塌了半边，进BIOS设置时手靠近左边麦克风孔会发出很大的啸叫声，很奇怪的故障
0	屏幕分辨率小了点，尤其是1024*600的这个600，用一段时间会发现不方便。另外确实如很多人评价的一点，运行东西稍微多点，就卡。
0	刚买第二天就降价100～～上开心网的农夫果园flash会有点卡没有送赠品，那个内胆是货物自带的
0	电池没说的那么好，用了半个月，一直在用电池，也就用67个小时，开始是8小时，效果没有想象中那么理想
0	?款?子只能?Vista，才能?示??卡，如果?XP，??就不被??出?，?句??，只有集成?卡被??，Vista的系?很大，占10多G，整???都很慢，很苦?，?在?盼???快推出XP的?卡??
0	就是update补丁后不能设置密码，害我差点重做系统声音有点差有点贵有点沉
0	音箱效果不太好，有杂音．只能做一般的使用，需另外配音箱．显示效果也一般．另外自带那个杀毒软件根本就注册不了，被我删了，现在裸奔中．还有那个读卡器，我有试过一次，没法用，不知道什么问题．
0	虽至于另外的那些更是不值一提，选来选去三星的这款不错。然以前用的三星不好，但这次不错
0	买回来后当天试了试，因为出差一直没用，昨天才打开，过了换货期。电池不能充电，希望出厂时严把质量关，给顾客减少不必要的麻烦。
0	性能一般，蛮肉的，但上网速度很快，比我大HP都快，郁闷。。。电池太强啦～什么时候大本子也能用它个6小时啊？
0	1.底座的橡皮托容易掉落...2.机身右侧的usb口不知道是供电不足还是我记起的硬件问题，街上鼠标后，鼠标显示有电，但不能正常使用。换左侧usb一切正常3.笔记本的通用问题了，电源变压器有电大
0	有点重了，上下班背着太累人了；还有就是那系统，真气死人了，就一个C盘分区，找了好多办法来分区，结果还是把系统给搞坏了，备份也搞没用了。NND只有拿到服务点，还要花二百大洋搞好分区换个系统。
0	硬件质量不行，老黑屏，现在硬盘都找不到了，刚好今天是签收的第七天！
0	刚取回家，装完XP系统、驱动，其它的能用。朋友拷了几部电影，装上暴风影音，打开电影，一两分钟之后死机，关机再来，几秒钟之后又死机。重装一个播放器还是一样。再后来重装系统驱动，看电影依然如故，还是死机。
0	6月5号收到一张发票号码：10342543（金额为3217元）属于订单号：4491950 但是今天财务拿到税务局没法通过认证（密码区有一行字不清楚）真不知道你们公司的开票员干啥吃的！！！！！！
0	Vista跑起来有点慢，要是XP就好了。250G只有一个分区，真没法用。没带任何系统光盘和驱动，提不方便了。想自己分区改XP，上网查了一下，不是一般的麻烦，一直没敢动手。
0	AMD的处理器发热偏大，显卡好像不支持VISTA的半透明效果，效果大打折扣，本身性能也较低，要是有intel+nidia的版本就完美了。
0	用电池供电自动断电，２星期３次，不是个体问题，发现了很多，我们已经组织了一个群，准备联名向联想要个说法！与京东无关，京东我还是恨满意的！！
0	惠普预装的软件太多了，竟然有72个进程，vista又太垃圾了，cpu是单核的，特效全关机子跑的还是有点慢，新上市的本本驱动又不多，想换xp只能先等等了！
0	送货配送的服务实在是太差了。我的地址属于徐汇区，但货配送到徐汇区，他们却不送，非要闵行区的送货，这样来来回回的就折腾了2天，你说怎么回事啊？
0	用了半个月了，感觉就一个字：爽！做工好，价格低，配送快，没话说了，一个字：好！
0	重量还是有点重的，不像想象中的那么轻，不过放在背包里也感觉不到。比公司里的Dell轻很多，比其他上网本还是要重一些的。只有一个内存插槽，不过标配的1G也够用了。Atom的性能还不是特别强大。
0	音箱感觉还不错，可以，就是没通过杜比认证，这心里还是没底啊！东芝的笔记本一个光盘都没有，郁闷！！系统崩溃咋办，还是家庭普通版，恶心！c盘分区格式，简直受不了！～没法正常分区调整大小！！费死劲！
0	外放音量不是很大，高音有点小尖低音不足，如果环境不是太吵闹可以应付正常使用
0	内存偏小！还得自己加！预装VISTA 系统运行的速度有点慢了!读光盘的时候,声音很大!要是送个包就好了!
0	赠送的系统慢就改装XP算了，内装的备份是用GHOST的就好了，应该再配一根USB电脑连接线就更理想了。
0	买给妹妹的  因为不在一起  不知道倒是是哪个芯片组的  要是GM45的就好了。。
0	东芝第一次启动vista的过程真的是太冗长了。要是能配有东芝的包就更好了。
0	键盘很生硬，没有手感。标配内存2G为两根1G的组成，很郁闷，当初没问清楚~~~（外面买很多都是单根2G，以后扩大内存不方便）
0	拿到盒子一看是GL40的，非常失望和恼火，怪不得京东不敢标芯片组了，还说和批次有关，买电脑搞得像抽奖一样，配置都不透明，要是事先知道是GL40的，绝对不会买的，有种受骗的感觉
0	联想预装软件太多,比较烦躁玩个魔兽,宽屏人物变形也就忍了,F1键居然不能用,不知道被什么占用了屏幕有点受不了,打开浏览器白的不得了,看着晕
